conversation_id,conversation_title,conversation_date,interviewer_name,president_name,question,answer,question_raw,question_order,answer_raw,answer_label,answer_inaudible,answer_multiple_questions,answer_affirmative_questions
Q_2619,The President's News Conference in Copenhagen,"December 18, 2009",Interviewer,Barack Obama,Is it that kind of agreement?,"You know, it raises an interesting question as to whether technically there's actually a signature, since, as I said, it's not a legally binding agreement. I don't know what the protocols are. But I do think that this is a commitment that we, as the United States, are making and that we think is very important.All right. Thanks, guys.",Q. Does it require signing? Is it that kind of agreement?,3,"You know, it raises an interesting question as to whether technically there's actually a signature, since, as I said, it's not a legally binding agreement. I don't know what the protocols are. But I do think that this is a commitment that we, as the United States, are making and that we think is very important.All right. Thanks, guys.",Claims ignorance,False,False,False
Q_456,The President's News Conference,"September 10, 2020",Interviewer,Donald J. Trump,Why did you lie to the American people?,"Such a terrible question and the phraseology. I didn't lie. What I said is: We have to be calm; we can't be panicked. I knew that the tapes were there. These were a series of phone calls that we hadâ€”mostly phone calls. And Bob Woodward is somebody that I respect, just from hearing the name for many, many years, not knowing too much about his work, not caring about his work.But I thought it would be interesting to talk to him for a period of, you know, calls. So we did that. I don't know if it's good or bad. I don't even know if the book is good or bad, but certainly, if he thought that was a bad statement, he would have reported it, because he thinks thatâ€”you know, you don't want to have anybody that is going to suffer medically because of some fact. And he didn't report it because he didn't think it was bad. Nobody thought it was bad.","Q. Yes, thank you, Mr. President. Why did you lie to the American people? And why should we trust what you have to say now?",1,"Such a terrible question and the phraseology. I didn't lie. What I said is: We have to be calm; we can't be panicked. I knew that the tapes were there. These were a series of phone calls that we hadâ€”mostly phone calls. And Bob Woodward is somebody that I respect, just from hearing the name for many, many years, not knowing too much about his work, not caring about his work.But I thought it would be interesting to talk to him for a period of, you know, calls. So we did that. I don't know if it's good or bad. I don't even know if the book is good or bad, but certainly, if he thought that was a bad statement, he would have reported it, because he thinks thatâ€”you know, you don't want to have anybody that is going to suffer medically because of some fact. And he didn't report it because he didn't think it was bad. Nobody thought it was bad.",Dodging,False,False,False
Q_102,The President's News Conference,"November 09, 2022",Interviewer,Joseph R. Biden," What in the next 2 years do you intend to do differently to change people's opinion of the direction of the country, particularly as you contemplate a run for President in 2024?","Nothing, because they're just finding out what we're doing. The more they know about what we're doing, the more support there is.Do you know anybody who wants us to get rid of the change we made on prescription drug prices and raise prices again? Do you know anybody who wants us to walk away from building those roads and bridges and the internet and so on? I don't know anyâ€”I think that the problem is, the major pieces of legislation we passedâ€”and some of it bipartisanâ€”takes time to be recognized.For example, you've got over a trillion dollars' worth of infrastructure money, but not that many spades have been put in the ground. It's taking time. For example, I was on the phone congratulating a Californian recently and then someone inâ€”up in Scranton, Pennsylvaniaâ€”the Congressman who got elected. And he said, Can you help us make sure we're able to have high-speed rail service from Scranton to New Yorkâ€”New York City? I said: Yes, we can. We can.First of all, it will make it a lot easier, take a lot of vehicles off the road. And we have more money in the pot now already out thereâ€”we voted forâ€”than the entire money we spent on Amtrak to begin with.And it's the same wayâ€”for example, I talked about, through the campaign, that we're going to limit the cost of insulin for seniors to $35 a month instead of $400 a month. Well, it doesn't take effect until next year.So there's a lot of things that are just starting to kick in. And the same way with what we've done in terms of environmental stuff. It takes time to get it moving.So I'm not going to changeâ€”as a matter of fact, you know there's some things I wanted to change and add to. For example, we'veâ€”had passed the most bipartisan, we passed the most extensive gun legislationâ€”you know, rational gun policy in 30 years. Andâ€”but we didn't ban assault weapons. I'm going to ban assault weapons. They're going to try like the devilâ€”so I'm not going to change the direction.I said I ran for three reasons. I'm going to continue to stay where I'mâ€”and I knowâ€”I fully understand the legitimate concern that what I'm saying is wrong. Okay?One is that I said we're going to restore the soul of the country, begin to treat each other with decency, honor, and integrity. And it's starting to happen. People are startingâ€”the conversations are becoming more normal, becoming moreâ€”moreâ€”how can I say it?â€”decent.Second thing I said was, I want to build a country from the middle out and the bottom up. And that way, everybody does fine. I'm tired of trickle-down. Not a whole lot trickles down when you trickle down to hard-working folks.And the third thingâ€”I know is still very hardâ€”I'm going to do everything in my power to see through that we unite the country. It's hard to sustain yourself as a leading democracy in the world if you can't generate some unity.So I'm not going to change anything in any fundamental way.","Q. You mentioned that Americans are frustrated. And, in fact, 75 percent of voters say the country is heading in the wrong direction, despite the results of last night. What in the next 2 years do you intend to do differently to change people's opinion of the direction of the country, particularly as you contemplate a run for President in 2024?",1,"Nothing, because they're just finding out what we're doing. The more they know about what we're doing, the more support there is.Do you know anybody who wants us to get rid of the change we made on prescription drug prices and raise prices again? Do you know anybody who wants us to walk away from building those roads and bridges and the internet and so on? I don't know anyâ€”I think that the problem is, the major pieces of legislation we passedâ€”and some of it bipartisanâ€”takes time to be recognized.For example, you've got over a trillion dollars' worth of infrastructure money, but not that many spades have been put in the ground. It's taking time. For example, I was on the phone congratulating a Californian recently and then someone inâ€”up in Scranton, Pennsylvaniaâ€”the Congressman who got elected. And he said, Can you help us make sure we're able to have high-speed rail service from Scranton to New Yorkâ€”New York City? I said: Yes, we can. We can.First of all, it will make it a lot easier, take a lot of vehicles off the road. And we have more money in the pot now already out thereâ€”we voted forâ€”than the entire money we spent on Amtrak to begin with.And it's the same wayâ€”for example, I talked about, through the campaign, that we're going to limit the cost of insulin for seniors to $35 a month instead of $400 a month. Well, it doesn't take effect until next year.So there's a lot of things that are just starting to kick in. And the same way with what we've done in terms of environmental stuff. It takes time to get it moving.So I'm not going to changeâ€”as a matter of fact, you know there's some things I wanted to change and add to. For example, we'veâ€”had passed the most bipartisan, we passed the most extensive gun legislationâ€”you know, rational gun policy in 30 years. Andâ€”but we didn't ban assault weapons. I'm going to ban assault weapons. They're going to try like the devilâ€”so I'm not going to change the direction.I said I ran for three reasons. I'm going to continue to stay where I'mâ€”and I knowâ€”I fully understand the legitimate concern that what I'm saying is wrong. Okay?One is that I said we're going to restore the soul of the country, begin to treat each other with decency, honor, and integrity. And it's starting to happen. People are startingâ€”the conversations are becoming more normal, becoming moreâ€”moreâ€”how can I say it?â€”decent.Second thing I said was, I want to build a country from the middle out and the bottom up. And that way, everybody does fine. I'm tired of trickle-down. Not a whole lot trickles down when you trickle down to hard-working folks.And the third thingâ€”I know is still very hardâ€”I'm going to do everything in my power to see through that we unite the country. It's hard to sustain yourself as a leading democracy in the world if you can't generate some unity.So I'm not going to change anything in any fundamental way.",Explicit,False,False,False
Q_3037,The President's News Conference,"December 04, 2007",Interviewer,George W. Bush,Why should we trust this any more?,"Well, you know, I'mâ€” without getting into sources and methods, I believe that the intelligence community has made a great discovery. And they've analyzed the discovery, and it's now part of our Government policy.Toby [Tabassum Zakaria, Reuters], I apologize for getting immediately to the TV people. That's just bad protocol; I should have called on you.",Q. Why should you trust this intelligence since it's different than 2005? Why should we trust this any more?,7,"Well, you know, I'mâ€” without getting into sources and methods, I believe that the intelligence community has made a great discovery. And they've analyzed the discovery, and it's now part of our Government policy.Toby [Tabassum Zakaria, Reuters], I apologize for getting immediately to the TV people. That's just bad protocol; I should have called on you.",General,False,False,False
Q_1126,"The President's News Conference in Osaka, Japan","June 29, 2019",Interviewer,Donald J. Trump,Does the deal that was just passed make the President want to step back from a raid?,Well that's different. That's humanitarianâ€”no that's a differentâ€”that's humanitarian. We needed that just to take careâ€”because we're running now hospitals. I mean the Border Patrolâ€”these are incredible peopleâ€”they're doing what theyâ€”you know nobody ever thought they were going to be doing this.And people are coming upâ€”the reason people are coming up is because we're doing so well as a country. In past years we weren't doing well. In past years Mexico was doing better. You know they took 32 percent of our car business. They were doing better than we were doing in the past. Now we're the hot country in the world and people are coming up because they want a piece of that action.And the other reason children are coming up is because we had a separation policy. Okay? Under President Obama we had separation. President Obama built those cells. They were in 2014. They were built. They all said Oh look how horrible. Then it turned out that it was built by President Obama. And I'm not blaming anybody. I'm not blaming him.I just say this: They had a separation policy. Right? I ended it. But when I ended it I put out a statement: I think it's going to bring more children up because you're ending it. You're saying now the child can stay with the parent. So I said ending it is nice in one way but in terms of what we're doing it makes it even tougher.But the really bad thing is the cartelsâ€”and I really think that Mexicoâ€”because you know they did 6000; now they're doing 16000 on our borderâ€”I think that Mexico is looking to swamp the cartels. And those kind of numbers will do it. It would be a great thing. What Mexico is doing for us is great.By the way without the tariffs they wouldn't have done it folks. We've been afterâ€”we've been after them for many years to do it.But they have really so farâ€”it's only a weekâ€”the numbers are way down. And so far a lot of good things have happened.Yes sir. Please. Yes please. In the second row.,Q. So the deal that was just passed does nothing to make you want to step back from that raid?,21,Well that's different. That's humanitarianâ€”no that's a differentâ€”that's humanitarian. We needed that just to take careâ€”because we're running now hospitals. I mean the Border Patrolâ€”these are incredible peopleâ€”they're doing what theyâ€”you know nobody ever thought they were going to be doing this.And people are coming upâ€”the reason people are coming up is because we're doing so well as a country. In past years we weren't doing well. In past years Mexico was doing better. You know they took 32 percent of our car business. They were doing better than we were doing in the past. Now we're the hot country in the world and people are coming up because they want a piece of that action.And the other reason children are coming up is because we had a separation policy. Okay? Under President Obama we had separation. President Obama built those cells. They were in 2014. They were built. They all said Oh look how horrible. Then it turned out that it was built by President Obama. And I'm not blaming anybody. I'm not blaming him.I just say this: They had a separation policy. Right? I ended it. But when I ended it I put out a statement: I think it's going to bring more children up because you're ending it. You're saying now the child can stay with the parent. So I said ending it is nice in one way but in terms of what we're doing it makes it even tougher.But the really bad thing is the cartelsâ€”and I really think that Mexicoâ€”because you know they did 6000; now they're doing 16000 on our borderâ€”I think that Mexico is looking to swamp the cartels. And those kind of numbers will do it. It would be a great thing. What Mexico is doing for us is great.By the way without the tariffs they wouldn't have done it folks. We've been afterâ€”we've been after them for many years to do it.But they have really so farâ€”it's only a weekâ€”the numbers are way down. And so far a lot of good things have happened.Yes sir. Please. Yes please. In the second row.,Implicit,False,False,False
Q_1003,The President's News Conference With President Sergio Mattarella of Italy,"October 16, 2019",Interviewer,Donald J. Trump," What is the view in Europe of the President's decision to withdraw, soâ€”to make the abrupt decision to withdraw from Syria?","I already answered a question regarding Syria. I'm not here to judge what other countries do, but to say what my country's position is. And our position is one I mentioned earlier, on Syria: on the fact that we condemn what Turkey decided to do in recent days with no possible ambiguity. Okay? []","Q. Mr. President, what is the view in Europe of the President's decision to withdraw, soâ€”to make the abrupt decision to withdraw from Syria?",2,"I already answered a question regarding Syria. I'm not here to judge what other countries do, but to say what my country's position is. And our position is one I mentioned earlier, on Syria: on the fact that we condemn what Turkey decided to do in recent days with no possible ambiguity. Okay? []",Declining to answer,False,False,False
Q_914,The President's News Conference,"February 26, 2020",Interviewer,Donald J. Trump,"And if so, what is the U.S. doing to boost production of masks?","Well, we can get a lot of it. In fact, we've ordered a lot of it just in case we need it. We may not need it; you understand that. But in caseâ€”we're looking at worst-case scenario. We're going to be set very quickly.But weâ€”I don't think we're going to ever be anywhere near that. I really don't believe that we're going to be anywhere near that. Our borders are very controlled. Our flights in from certain areas that we're talking about are very controlled. I don't think we'll ever be anywhere near that.Please, go ahead.","Q. Mr. President, should Americans be going out getting protective equipment such as masks and so forth? And if so, what is the U.S. doing to boost production of masks?",8,"Well, we can get a lot of it. In fact, we've ordered a lot of it just in case we need it. We may not need it; you understand that. But in caseâ€”we're looking at worst-case scenario. We're going to be set very quickly.But weâ€”I don't think we're going to ever be anywhere near that. I really don't believe that we're going to be anywhere near that. Our borders are very controlled. Our flights in from certain areas that we're talking about are very controlled. I don't think we'll ever be anywhere near that.Please, go ahead.",Explicit,False,False,False
Q_571,The President's News Conference,"August 13, 2020",Interviewer,Donald J. Trump, How long will Israel suspend the West Bank annexation plan?,"What do you think? Tell me. Well, we haveâ€”we're putting all our eggs into the basket of peace. We have an agreement with the Emirates. We're going to nail down all the detailsâ€”Embassies, overflights, commercialâ€”and then we're going to extrapolate that to the rest of the region. How long that takes, I can't tell you. But that'sâ€”we've prioritized peace over the sovereignty movement, but it's not off the table. It's just something that will be deferred until theâ€”we give peace every single chance.","Q. Mr. President, what's your understanding of how long Israel will suspend this West Bank annexation plan?",1,"What do you think? Tell me. Well, we haveâ€”we're putting all our eggs into the basket of peace. We have an agreement with the Emirates. We're going to nail down all the detailsâ€”Embassies, overflights, commercialâ€”and then we're going to extrapolate that to the rest of the region. How long that takes, I can't tell you. But that'sâ€”we've prioritized peace over the sovereignty movement, but it's not off the table. It's just something that will be deferred until theâ€”we give peace every single chance.",Claims ignorance,False,False,False
Q_3016,The President's News Conference With Prime Minister Ehud Olmert of Israel in Jerusalem,"January 09, 2008",Interviewer,George W. Bush,Do you care about it?,Yes.[],"Q. Mr. President, regarding the issues of rockets and settlements that you mentioned before, what shouldâ€”what could Israel do regarding the ever-growing threat from Gaza? And regarding the settlements, did you get any new assurances from the Prime Minister regarding the removal of illegal outposts? Do you believe that this time it will be implemented? Do you care about it?",3,Yes.[],General,False,False,False
Q_419,The President's News Conference,"September 18, 2020",Interviewer,Donald J. Trump, Voting by mail is a scam?,â€”â€”at a levelâ€”they are never going to be able to count them. Let me ask youâ€”â€”,Q. Voting by mail is a scam?,6,â€”â€”at a levelâ€”they are never going to be able to count them. Let me ask youâ€”â€”,Implicit,False,False,False
